FID,pk,efetivacao,tipo,nivel,upperlimit,uom_ulimit,lowerlimit,uom_llimit,rumo_verda,rumo_mag,c_rumo_ver,c_rumo_mag,aerovia,geom,emenda,emenda_futura
airway.59,70,2017-06-21,CONV,LOWER,245,FL,145,FL,59,67,239,248,B552,"MULTILINESTRING ((-69.8725 -6.661166667, -69.73801492705046 -6.5811385978054195, -69.60357291353162 -6.501074105508629, -69.46917343663979 -6.42097364798395, -69.3348159732755 -6.3408376827610695, -69.2005 -6.260666667))",2018-09-13,2018-10-11
airway.60,73,2017-06-21,CONV,LOWER,245,FL,145,FL,56,67,236,247,B552,"MULTILINESTRING ((-66.1165 -4.343500000000001, -65.97751143256424 -4.24803375901777, -65.83855703956556 -4.15254221498739, -65.69963605058149 -4.0570259443743595, -65.56074769529319 -3.9614855233745496, -65.42189120318417 -3.8659215277150096, -65.28306580372441 -3.7703345327873197, -65.14427072633185 -3.67472511362848, -65.00550520037461 -3.57909384492971, -64.8667684551728 -3.4834413010451097, -64.72805972 -3.387768056))",2018-09-13,2018-10-11
airway.61,71,2017-06-21,CONV,LOWER,245,FL,145,FL,59,68,239,249,B552,"MULTILINESTRING ((-69.2005 -6.260666667, -68.96861106358719 -6.122025653406889, -68.73684171041988 -5.98328379606454, -68.5051892342701 -5.844443445103329, -68.27365092670699 -5.70550694789197, -68.04222407691003 -5.56647664894456, -67.81090597189598 -5.427354890075749, -67.57969389655457 -5.28814401044291, -67.34858513371765 -5.148846346609139, -67.11757696422691 -5.00946423260666, -66.886666667 -4.87))",2018-09-13,2018-10-11
airway.62,72,2017-06-21,CONV,LOWER,245,FL,145,FL,56,66,236,247,B552,"MULTILINESTRING ((-66.886666667 -4.87, -66.75822587637876 -4.7823092368480795, -66.62981775938756 -4.6945941747327, -66.50144171463292 -4.6068552670189495, -66.37309714080939 -4.51909296686091, -66.2447834364322 -4.43130772702391, -66.1165 -4.343500000000001))",2018-09-13,2018-10-11
airway.63,2657,2017-06-21,CONV,LOWER,245,FL,145,FL,67,72,246,252,B552,"MULTILINESTRING ((-73.678333333 -8, -73.52740473015915 -7.9346017421398, -73.37652384596144 -7.86914858001731, -73.2256903062684 -7.803640988762069, -73.07490373608624 -7.73807944333877, -72.92416375956347 -7.67246441854267, -72.77347 -7.606796389))",2018-09-13,2018-10-11
airway.64,3819,2013-12-12,CONV,LOWER,245,FL,195,FL,23,43,203,222,B623,"MULTILINESTRING ((-32.12111111 -3.271666667, -32.0174864429284 -3.02782233291053, -31.91390811004816 -2.78396695184182, -31.81037235699818 -2.54010141831085, -31.706875434985207 -2.29622662565697, -31.60341360029159 -2.05234346614629, -31.4999831137842 -1.80845283107566, -31.39658024042452 -1.56455561087646, -31.293201248779727 -1.32065269521803, -31.18984241053461 -1.07674497311097, -31.0865 -0.8328333330000001))",2018-09-13,2018-10-11
airway.65,79,2013-12-12,CONV,LOWER,245,FL,195,FL,24,43,204,222,B623,"MULTILINESTRING ((-31.0865 -0.8328333330000001, -30.99144697732313 -0.6207174209073354, -30.896401528283167 -0.4085996183681574, -30.80136106433545 -0.1964805714971398, -30.706322997421218 0.0156390737013453, -30.611284739715348 0.2277586712759597, -30.516243703374148 0.4398775752711441, -30.42119730028307 0.6519951396698617, -30.326142941804438 0.8641107183363282, -30.23107803852506 1.07622366495871, -30.136000000000003 1.288333333))",2018-09-13,2018-10-11
airway.66,78,2013-12-12,CONV,LOWER,245,FL,195,FL,28,48,208,228,B623,"MULTILINESTRING ((-32.429938889 -3.8567444440000003, -32.35269485360177 -3.71048558976173, -32.275476218895896 -3.56421948322989, -32.1982819742228 -3.4179464129136297, -32.12111111 -3.271666667))",2018-09-13,2018-10-11
airway.67,80,2017-06-21,CONV,LOWER,245,FL,195,FL,24,42,204,220,B623,"MULTILINESTRING ((-30.136000000000003 1.288333333, -30.04091361402324 1.50042835390568, -29.94580891030557 1.7125188029218998, -29.850683294268258 1.9246040325887799, -29.755534169292627 2.13668339498322, -29.66035893646627 2.3487562416611, -29.56515499432877 2.5608219235995198, -29.46991973861707 2.7728797911388, -29.37465056201027 2.98492919392438, -29.279344853873898 3.19696948084854, -29.184 3.4090000000000003))",2018-09-13,2018-10-11
airway.68,81,2013-12-12,CONV,LOWER,245,FL,145,FL,253,269,73,89,B652,"MULTILINESTRING ((-56.112027778 -15.656091111, -56.276858188200166 -15.70625576217867, -56.441769178557244 -15.75629577858352, -56.60676085721947 -15.80621068333957, -56.77183333 -15.856000000000002))",2018-09-13,2018-10-11
